Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,500
1,0,1,186,500
2,0,1,365,500
3,0,0,500,500
4,0,0,500,500
5,0,0,500,500
6,0,0,500,0
7,0,0,500,0
8,0,0,500,500
9,0,0,500,500
10,0,0,500,500
11,0,0,500,500
12,0,0,500,500
13,0,0,500,500
14,0,0,500,500
15,0,0,500,500
16,0,0,500,500
17,0,0,500,500
18,0,0,500,500
19,0,0,500,500
20,0,0,500,500
21,49,0,451,500
22,49,0,451,500
23,49,0,451,500
24,49,0,451,500
25,49,0,451,500
26,49,0,451,500
27,49,0,451,500
28,49,0,451,500
29,49,0,451,500
30,49,0,451,500
31,98,0,402,500
